product_name,product_link,price,seller,free_shipping,rating
"13"" MacBook Air: Apple",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-gece-yarisi-p-904728376?boutiqueId=681310&merchantId=968,0.0,Apple,False,1.0
IdeaPad Flex 5 Intel,https://www.trendyol.com/lenovo/ideapad-flex-5-intel-core-i5-1235u-8gb-512gb-iris-graphics-w11h-14-wuxga-bilgisayar-snertech-p-794148094?boutiqueId=61&merchantId=322524,0.0,LENOVO,False,2.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-1tb-ssd-gumus-p-873005222?boutiqueId=681310&merchantId=968,0.0,Apple,False,1.0
Tx90 i7 860 16GB Ram,https://www.trendyol.com/zeiron/tx90-i7-860-16gb-ram-256gb-ssd-gt740-23-8-curved-oyuncu-masaustu-bilgisayari-p-329480930?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,51.0
"16"" MacBook Pro: Apple",https://www.trendyol.com/apple/16-macbook-pro-apple-m4-pro-chip-with-14-core-cpu-and-20-core-gpu-24gb-512gb-ssd-uzay-siyahi-p-872449423?boutiqueId=681310&merchantId=968,0.0,Apple,False,7.0
Aspire 5 Intel Core,https://www.trendyol.com/acer/aspire-5-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-koyu-gri-dizustu-bilgisayar-nx-kn3ey-002-p-784172191?boutiqueId=61&merchantId=275331,0.0,ACER,False,125.0
"13"" MacBook Air: Apple",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gumus-p-904728347?boutiqueId=681310&merchantId=968,0.0,Apple,False,2.0
Tulpar T7 V20.6.2,https://www.trendyol.com/monster/tulpar-t7-v20-6-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-736980364?boutiqueId=61&merchantId=141868,0.0,MONSTER,False,160.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-pro-chip-with-12-core-cpu-and-16-core-gpu-24gb-512gb-ssd-gumus-p-872448738?boutiqueId=681310&merchantId=968,0.0,Apple,False,5.0
Prime X90 Ryzen 5 5500,https://www.trendyol.com/zeiron/prime-x90-ryzen-5-5500-32gb-1tb-m-2-ssd-rtx3050-23-8-165hz-oyuncu-masaustu-bilgisayar-uyumlu-p-808065258?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,303.0
Nirvana,https://www.trendyol.com/casper/nirvana-x600-7430-8v00x-g-f-ryzen-5-7430u-8gb-ram-500gb-nvme-ssd-freedos-laptop-15-6-p-893544114?boutiqueId=681310&merchantId=968,0.0,CASPER,False,14.0
Abra A5 V20.4.4 Intel,https://www.trendyol.com/monster/abra-a5-v20-4-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273029?boutiqueId=61&merchantId=203702,0.0,MONSTER,False,197.0
Zgx25 Ryzen 5 3600,https://www.trendyol.com/zeiron/zgx25-ryzen-5-3600-32gb-3200mhz-ram-512gb-ssd-rx550-gddr5-23-8-curved-oyuncu-masaustu-bilgisayar-p-310792132?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,1073.0
255 G9 RYZEN 5 5625U 16GB,https://www.trendyol.com/hp/255-g9-ryzen-5-5625u-16gb-ram-512gb-ssd-15-6-fhd-w11pro-723q2ea-per4-canta-p-820086793?boutiqueId=61&merchantId=593943,0.0,HP,False,108.0
13-inch MacBook Air:,https://www.trendyol.com/apple/13-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-8-core-gpu-8gb-256gb-ssd-midnight-p-814750695?boutiqueId=681310&merchantId=968,0.0,Apple,False,44.0
Tx80 i7-860 16GB Ram,https://www.trendyol.com/zeiron/tx80-i7-860-16gb-ram-256gb-ssd-gt730-4gb-24-curved-oyuncu-masaustu-bilgisayar-p-329480351?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,515.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-pro-chip-with-12-core-cpu-and-16-core-gpu-24gb-512gb-ssd-uzay-siyahi-p-872449424?boutiqueId=681310&merchantId=968,0.0,Apple,False,20.0
Gopo Xeon X5650 32gb,https://www.trendyol.com/warbox/gopo-xeon-x5650-32gb-ram-256gb-ssd-250gb-hdd-r7240-4gb-e-karti-20-monitor-gaming-pc-p-801815321?boutiqueId=61&merchantId=976385,0.0,WARBOX,False,71.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-gumus-p-872448741?boutiqueId=681310&merchantId=968,0.0,Apple,False,11.0
Mirage X32 Ryzen 7,https://www.trendyol.com/zeiron/mirage-x32-ryzen-7-5700x-32gb-ram-1tb-m-2-nvme-ssd-8gb-rtx4060-sivi-sogutmali-oyuncu-bilgisayari-p-815125225?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,320.0
